"record_num","id","latitude","longitude","label","updated_at","occupancy_status","direction_id","current_stop_sequence"
7660,"y1786",42.33884537,-71.07994529,"1786","2023-06-14T19:58:26-04:00","MANY_SEATS_AVAILABLE",1,16
7661,"y1783",42.36285591,-71.09953361,"1783","2023-06-14T19:57:59-04:00","",0,17
7662,"y1778",42.34763085,-71.08807433,"1778","2023-06-14T19:58:23-04:00","MANY_SEATS_AVAILABLE",1,12
7663,"y1877",42.33026752,-71.08400366,"1877","2023-06-14T19:58:36-04:00","MANY_SEATS_AVAILABLE",1,24
7664,"y1863",42.35145269,-71.08979439,"1863","2023-06-14T19:58:38-04:00","FEW_SEATS_AVAILABLE",0,14
7665,"y1817",42.36482,-71.10279,"1817","2023-06-14T19:58:32-04:00","MANY_SEATS_AVAILABLE",1,7
7666,"y1786",42.33885354,-71.07992899,"1786","2023-06-14T19:58:35-04:00","MANY_SEATS_AVAILABLE",1,16
7667,"y1783",42.3629,-71.09942,"1783","2023-06-14T19:58:29-04:00","",0,17
7668,"y1778",42.34761,-71.08797,"1778","2023-06-14T19:58:30-04:00","MANY_SEATS_AVAILABLE",1,12
7669,"y1863",42.35227271,-71.09020128,"1863","2023-06-14T19:58:47-04:00","FEW_SEATS_AVAILABLE",0,15
7670,"y1817",42.36487527,-71.10282147,"1817","2023-06-14T19:58:45-04:00","MANY_SEATS_AVAILABLE",1,7
7671,"y1786",42.33885268,-71.07992459,"1786","2023-06-14T19:58:42-04:00","MANY_SEATS_AVAILABLE",1,16
7672,"y1783",42.36285257,-71.09954146,"1783","2023-06-14T19:58:40-04:00","",0,17
7673,"y1778",42.34761,-71.08797,"1778","2023-06-14T19:58:30-04:00","MANY_SEATS_AVAILABLE",1,12
7674,"y1863",42.35354828,-71.09084195,"1863","2023-06-14T19:58:57-04:00","FEW_SEATS_AVAILABLE",0,15
7675,"y1817",42.36442059,-71.10198117,"1817","2023-06-14T19:58:57-04:00","MANY_SEATS_AVAILABLE",1,8
7676,"y1786",42.33840805,-71.07941371,"1786","2023-06-14T19:58:56-04:00","MANY_SEATS_AVAILABLE",1,17
7677,"y1783",42.3628528,-71.09954465,"1783","2023-06-14T19:58:57-04:00","",0,17
7678,"y1778",42.34761,-71.08797,"1778","2023-06-14T19:58:30-04:00","MANY_SEATS_AVAILABLE",1,12
7679,"y1863",42.35506674,-71.09162291,"1863","2023-06-14T19:59:09-04:00","FEW_SEATS_AVAILABLE",0,15
7680,"y1817",42.36402004,-71.10140036,"1817","2023-06-14T19:59:08-04:00","MANY_SEATS_AVAILABLE",1,8
7681,"y1786",42.33794238,-71.07889197,"1786","2023-06-14T19:59:09-04:00","MANY_SEATS_AVAILABLE",1,17
7682,"y1783",42.36319547,-71.09996688,"1783","2023-06-14T19:59:09-04:00","",0,17
7683,"y1778",42.34732089,-71.08789696,"1778","2023-06-14T19:59:10-04:00","MANY_SEATS_AVAILABLE",1,12
7684,"y1863",42.35619462,-71.0921961,"1863","2023-06-14T19:59:18-04:00","FEW_SEATS_AVAILABLE",0,15
7685,"y1817",42.36344515,-71.10042548,"1817","2023-06-14T19:59:20-04:00","MANY_SEATS_AVAILABLE",1,8
7686,"y1786",42.3379157,-71.07885381,"1786","2023-06-14T19:59:14-04:00","MANY_SEATS_AVAILABLE",1,17
7687,"y1783",42.36371931,-71.10070434,"1783","2023-06-14T19:59:21-04:00","",0,18
7688,"y1778",42.3472101,-71.08776883,"1778","2023-06-14T19:59:16-04:00","MANY_SEATS_AVAILABLE",1,12
7689,"y1863",42.35719085,-71.09261309,"1863","2023-06-14T19:59:27-04:00","FEW_SEATS_AVAILABLE",0,15
7690,"y1817",42.36310906,-71.09997594,"1817","2023-06-14T19:59:29-04:00","MANY_SEATS_AVAILABLE",1,8
7691,"y1786",42.3379157,-71.07885381,"1786","2023-06-14T19:59:14-04:00","MANY_SEATS_AVAILABLE",1,17
7692,"y1783",42.36386,-71.10111,"1783","2023-06-14T19:59:27-04:00","",0,18
7693,"y1778",42.34721959,-71.08774129,"1778","2023-06-14T19:59:26-04:00","MANY_SEATS_AVAILABLE",1,12
7694,"y1863",42.3587068,-71.09341085,"1863","2023-06-14T19:59:42-04:00","FEW_SEATS_AVAILABLE",0,15
7695,"y1817",42.36313481,-71.09992779,"1817","2023-06-14T19:59:39-04:00","MANY_SEATS_AVAILABLE",1,8
